Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
,,,,,,,,,,,,,,,,,,,
Agile is a Scrum Framework. True or False?,Multiple Choice,TRUE,FALSE,,,,,,,,,,,,,,2,Agile is an umbrella term for a set of methods and frameworks. Scrum is one such framework.,
Which of the following is TRUE?,Multiple Choice,Scrum teams are cross-functional and the scrum master manages them.,Scrum teams are cross-functional and self-managing.,Scrum teams are self-managing and everyone in the team works as an individual focussed on their own tasks only,,,,,,,,,,,,,2,Scrum teams are cross-functional and self-managing.,
Which of the following is FALSE?,Multiple Choice,The developers deliver a complete product each sprint,The developers deliver a potentially releasable increment each sprint,The potentially releasable increment is delivered at the end of the sprint,,,,,,,,,,,,,1,"The developers do NOT deliver a complete product each sprint, the deliver an increment",
Inspection is an important and compulsory†component of any scrum team.†Scrum teams inspect every sprint. Which ONE of the following statements is true:,Multiple Choice,Scrum teams should inspect as many times as they desire,Their inspection should not be so frequent that inspection gets in the way of the work.,There should be no more than one sprint per year†to prevent overloading the team,,,,,,,,,,,,,2,Their inspection should not be so frequent that inspection gets in the way of the work.,
Which ONE of the following statements is TRUE?,Multiple Choice,Scrum is a process for delivering complex projects,Scrum is a methodology for delivering complex projects,Scrum is a framework for delivering complex projects,,,,,,,,,,,,,3,"Contrary to popular belief, scrum is neither a process or a methodology.  It is a framework within which other processes and methods can be employed.",
What type of†theory is Scrum based on?,Multiple Choice,The Alpha Framework,Empirical Process Control Theory and Lean Principles,The Theory of Agile,,,,,,,,,,,,,2,Empirical Process Control Theory and Lean Principles,
"Scrum is founded on empirical process control theory, or empiricism. †Three pillars uphold every implementation of empirical process control: What are they?",Multiple Choice,"Trust, Faith, Hope","Transparency, Inspection, Adaptation,","Discussion, Reflection, Development",,,,,,,,,,,,,2,"Transparency, Inspection, Adaptation,",
What are the 5 Scrum Values?,Multiple Choice,"hard work, courage, focus, working long hours and respect","honouring the product owner, honouring the scrum master, focus, openness and respect","commitment, courage, focus, openness and respect",,,,,,,,,,,,,3,"commitment, courage, focus, openness and respect",
Which one of these statements is true?,Multiple Choice,Scrum should only be used to build simple products.,Scrum is a framework that can be used to build complex products.,Scrum should only be used to build software products.,,,,,,,,,,,,,2,Scrum is a framework that can be used to build complex products.,
The scrum team consists of a number of roles. †What are they?,Multiple Choice,"Scrum Master, Product Owner, Design Team, Tech Team","Scrum Master, Product Owner, Developers","Scrum Master, Product Owner, Project Team",,,,,,,,,,,,,2,"Scrum Master, Product Owner, Developers",
Which of the following is true about the number of developers in a scrum team?,Multiple Choice,"Scrum does not prescribe the number of developers, only advises on the number of people in the scrum team",The† number of developers must be between 3†and 7,The† number of developers must be between 3†and 9,,,,,,,,,,,,,1,"Scrum does not prescribe the number of developers, only advises on the number of people in the scrum team",
Which role is responsible (among other things) for maximizing the†product's value?,Multiple Choice,The Development Team should be doing this themselves,The Scrum Master,The Product Owner,,,,,,,,,,,,,3,The Product Owner,
Which of the following statements is FALSE:,Multiple Choice,The team is accountable for managing†the product backlog,The product owner is accountable for managing the product backlog,The scrum master†helps†the product owner to†find†techniques for effective product backlog management,,,,,,,,,,,,,1,The Product Owner is the sole person accountable for managing the Product Backlog. ,
Which of the following is FALSE?,Multiple Choice,,Scrum is designed such that the senior stakeholders must make the final call on product decisions,The product owner's decisions must be respected by the organisation,,,,,,,,,,,,,2,"For the Product Owner to succeed, the entire organization must respect his or her decisions. ",
Which of the following is NOT an essential action for a scrum team?,Multiple Choice,"It MUST consist of a Product Owner, Scrum Master and Development Team",Scrum Teams work to deliver a product increment each sprint,Scrum Teams MUST use software†tools to be at their best,,,,,,,,,,,,,3,"Tools often help and it is often the best decision to use them, but are NOT essential in a scrum team?",
What is the recommended size of a Scrum Team?,Multiple Choice,Typically 10 or fewer people,Typically Between 3 and 9 people,Typically Between 1 and 5 people,,,,,,,,,,,,,1,Typically 10 or fewer people,
"The Scrum Master understands the scrum rules and framework, however which of the following groups does he have the authority to coach:",Multiple Choice,The developers only,Anyone in the organization,The entire scrum team only,,,,,,,,,,,,,2,The scrum master has the authority to coach anyone in the organization,
